Title,Country,Synopsis,Director,Actors,Genres,Rating,Number of Raters,URL
Ikigami: The Ultimate Limit (2008),Japan,"A place, somewhere, that bears a strong resemblance in history and environment to Japan. Its return to prosperity after defeat in war is due to a certain law, a pillar of the state. This is the Special Law for the Maintenance of National Prosperity. 24 hours before this capsule is to bring about death, an official of the Ministry of Health and Welfare brings a letter announcing impending death, an ikigami. Those who receive this ikigami letter have 24 hours of absolute freedom to do anything and everything they want. Kengo Fujimoto has made his way through university and taken a job with the Ministry. His work now is delivering these ikigami letters.
Dear Citizen: Thank you for your loyalty. You've no doubt noticed that the world is a troubled place. People are apathetic, lazy, unmotivated. You've probably asked yourself
WHY ISN""T ANYTHING BEING DONE TO STOP THIS SYSTEMATIC DECLINE?
Rest assured that measures are being taken. Beginning immediately, we will randomly select a different citizen each who will be killed within 24 hours of notification. We believe this will help remind all people how precious life is and how important it is to be a productive, active member of society.
Thank you for your continued attention and your cooperation and participation... Edit Translation English Español magyar / magyar nyelv dansk",Takimoto Tomoyuki,"Matsuda Shota, Role: Kengo Fujimoto
Kanai Yuta, Role: Tanabe Tsubasa 
Yamada Takayuki, Role: Satoshi Izuka
Tsukamoto Takashi, Role: Hidekazu
Emoto Akira, Role: Morio Hidekazu
Fubuki Jun, Role: Takizawa Kazuko","Thriller
 Psychological
 Life
 Drama",7.8,751,https://mydramalist.com//427-ikigami-the-ultimate-limit
Initial D (2005),Hong Kong,"Drifting is the art of getting cars around corners as quickly as possible through controlled skidding. Mount Akina's tortuous hairpin bends and perilous drops make it a formidable test for even the professional street racers, but the fastest driver of them all is Takumi, who has been delivering tofu for his father down that route every night since he was 13. Street-racing gangs hear of a ""Racing God"" and turn up to challenge him, but he only has eyes for his worthless (and underwritten) girlfriend - until his friends and his alcoholic father can trigger his competitive streak. Edit Translation English Español Polski magyar / magyar nyelv",Felix Chong,"Anthony Wong, Role: Bunta Fujiwara
Jay Chou, Role: Takumi Fujiwara
Edison Chen, Role: Ryosuke Takahashi
Ueki Kiyohiko, Role: Iketani
Chapman To, Role: Itsuki Tachibana
Jordan Chan, Role: Kyoichi Sudo","Action
 Thriller
 Romance
 Sports",7.2,1095,https://mydramalist.com//586-initial-d
Ong Bak (2003),Thailand,"When the head of a statue sacred to a village is stolen, a young martial artist goes to the big city and finds himself taking on the underworld to retrieve it. Edit Translation English magyar / magyar nyelv dansk Norsk",Prachya Pinkaew,"Tony Jaa, Role: ""Ting"" / Boonthing
Phetthai Vongkhumlao, Role: Humlae / George
Air Pumwaree Yodkamol, Role: Muay Lek 
Suchao Pongwilai, Role: Khomthuan
Chumphorn Thepphithak, Role: Mao
Lewis Phantana, Role: Saming Sipthit","Action
 Thriller
 Crime
 Martial Arts",7.8,752,https://mydramalist.com//9947-ong-bak
In Love and Deep Water (2023),Japan,"While at sea, the loyal butler on a luxury cruise, Ubukata Suguru, and a mysterious woman named Banjaku Chizuru cross paths as they try to uncover a murder-mystery that occurs on the ship.

",Taki Yusuke,"Yoshizawa Ryo, Role: Ubukata Suguru
Miyazaki Aoi, Role: Banjaku Chizuru
Yoshida Yoh, Role: Yabuchi Hatsumi [Captain]
Kikuchi Rinko, Role: Horikawa Aina
Nagayama Kento, Role: Ibuki Shintaro
Izumisawa Yuuki, Role: Yuzawa Ryuki","Thriller
 Mystery
 Comedy
 Romance",7.1,641,https://mydramalist.com//732597-crazy-cruise
"Kamen Rider Fourze the Movie: Space, Here We Come! (2012)",Japan,"A transaction meeting Gamou was to have with Foundation X goes array when a mysterious woman named Inga Blink steals replica Horoscopes Switches for space warfare. Telling Hayami and Tatsugami not to pursue, Gamou tells them they will have the Kamen Rider Club deal with her. At Amanogawa High School, Mr. Ohsugi takes Gentaro, Yuki, Kengo, and Ryusei out of computer class and takes them to the Rabbit Hatch to meet up with the rest of Kamen Rider Club. There, they meet a strange lady named Shizuka Shirayama who is a member of OSTO Legacy and requests the Club's assistance. Argeeing to help, the Kamen Rider Club members are taken into a bus and blindfolded for security reasons. But on the way, they are attacked by a robot named Black Knight. Transforming to hold the pursuing Black Knight at bay, Kamen Rider Fourze battles the attacker while Ryusei and the others find themselves boarded by Inga Blink who Ryusei fights while getting her out of he bus. However, Inga destroys the accompanying van to blocks the road while wounding Ryusei with a jab to the side. When Fourze arrives, warning the Kamen Rider Club not to interfer, Inga summons Black Knight to take her away. Edit Translation English 中文(台灣) magyar / magyar nyelv dansk",Sakamoto Koichi,"Fukushi Sota, Role: Kisaragi Gentaro / Kamen Rider Fourze
Yoshizawa Ryo, Role: Sakuta Ryusei
Takahashi Ryuki, Role: Kengo Utahoshi
Sengen Yoshiko, Role: Joujima Yuuki
Sakata Rikako, Role: Kazashiro Miu
Tomimori Justin, Role: Daimonji Shun","Action
 Adventure
 Tokusatsu
 Sci-Fi",7.6,510,https://mydramalist.com//6183-kamen-rider-fourze-the-movie-space-here-we-come
Kamen Rider Den-O: I'm Born! (2007),Japan,"The movie takes place between episodes 27 and 28 of the series, featuring the DenLiner and its passengers travelling as far back as the Edo period of Japan. Ryotaro pursues the Molech Imagin to May 8, 2000. Though Den-O Sword Form destroys the Molech Imagin, the Imagin fulfilled his mission as the DenLiner ends up hijacked by the rest of the Imagin led by a rogue Kamen Rider named Gaoh who knocks Ryotaro out. After stealing the Owner's Master Pass and trapping Urataros and Kintaros, Gaoh forces the DenLiner to travel back in time to the Edo Period of Japan so he can retrieve the legendary GaohLiner. Edit Translation English magyar / magyar nyelv dansk Norsk",Kobayashi Yasuko,"Satoh Takeru, Role: Nogami Ryotaro / Kamen Rider Den-O
Shiratori Yuriko, Role: Hana
Akiyama Rina, Role: Naomi
Nakamura Yuichi, Role: Yuto Sakurai/Kamen Rider Zeronos
Ishimaru Kenjiro, Role: [Owner]
Ogura Toshihiro, Role: Ryutaros (suit actor) / Kamen Rider Den-O Gun Form (suit actor)","Action
 Historical
 Tokusatsu
 Sci-Fi",7.6,553,https://mydramalist.com//3862-kamen-rider-den-o-im-born
The Lies She Loved (2018),Japan,"Yukari has lived with her caring, medical researcher boyfriend Kippei for five years. One day, she is waiting for Kippei to come home when a police officer suddenly pays her a visit and informs her Kippei has collapsed from a brain hemorrhage. Furthermore, his occupation and his name are falsified.

",Detective Supporting Character,"Nagasawa Masami, Role: Kawahara Yukari
Takahashi Issei, Role: Koide Kippei
Yoshida Kotaro, Role: Kaibara Takumi
Kawaei Rina, Role: Kokoha
Kuroki Hitomi, Role: Masako
DAIGO, Role: Kimura","Mystery
 Romance
 Drama",7.5,571,https://mydramalist.com//24216-woman-who-loves-lies
Friends Never Die (2012),Thailand,"A rich young man called ""Gun"", forms a gang with a group of friends called ""SPERM"". He later meets up with a guy named Song, and asks if he wanted to join the gang. Gun is a person who teaches everyone in his gang to love and protect each other, and he is also the strongest one in the gang. They are involved in many other fights between rival gangs. But his gang always get a serious problem and their friendship is tested. Edit Translation English Español magyar / magyar nyelv dansk",Adsajun Sattagovit,"Mario Maurer, Role: Gun
Mouse Natcha Janthapan, Role: Song
Mo Monchanok Saengchaipiangpen, Role: Name
Boss Navapaibool Wutthinanon, Role: Tod
Eye Kamolned Ruengsri, Role: Elle
Joke Kritsana Maroukasonti, Role: Keng","Action
 Youth
 Drama",7.7,713,https://mydramalist.com//9900-friends-never-die
Rookies: Graduation (2009),Japan,"Koichi Kawato is a new teacher at Futakotamagawa Academy, whose baseball club features nothing but thugs and bullies. He takes genuine interest in those players and tries them onto a better path... even by quoting proverbs.

",Izumi Yoshihiro,"Sato Ryuta, Role: Kawato Koichi
Ichihara Hayato, Role: Aniya Keichi
Koide Keisuke, Role: Mikoshiba Toru
Takaoka Sousuke, Role: Wakana Tomochika
Nakao Akiyoshi, Role: Sekikawa Shuta
Shirota Yu, Role: Shinjo Kei","Comedy
 Youth
 Sports",8.0,794,https://mydramalist.com//326-rookies-graduation
The Recipe (2010),South Korea,"A man on deathrow wants to taste ""doenjang jjigae"" (a spicy Korean bean paste stew) before he dies. Television producer Choi Yu Jin hears of the inmate and researches his story for an upcoming news report. Yu Jin then comes across a mysterious woman named Jang Hye Jin who makes doenjang jjigae that brings tears of joy to those who tastes her recipe. As Yu Jin delves further, he learns of Hye Jin's heartbreaking relationship with Kim Hyun Soo. Edit Translation English Español magyar / magyar nyelv dansk",Lee Seo Goon,"Lee Dong Wook, Role: Kim Hyun Soo
Ryu Seung Ryong, Role: Choi Yoo Jin
Lee Yo Won, Role: Jang Hye Jin
Kim Jung Seok, Role: Detective Kang
Jo Sung Ha, Role: Park Min / Park Gu
Kim Se Dong, Role: [Blind Man]","Mystery
 Romance
 Drama",7.2,506,https://mydramalist.com//1022-the-recipe
Sea Fog (2014),South Korea,"A fishing boat goes out to sea to catch fish but it fails. In order to keep their fishing jobs and to make money, the captain decides to smuggle in illegal migrants (Ethnic Koreans living in China, who want to live in South Korea). And amid the chaos, the youngest crewman Dong Shik tries to protect Hong Mae, a female migrant who he falls in love with. But their plan goes awry when they meet a tragic accident while transporting the illegal migrants on the ship. ~ Based on a true story. Edit Translation English Español magyar / magyar nyelv dansk",Shim Sung Bo,"Park Yoo Chun, Role: Dong Shik
Kim Yoon Seok, Role: Captain Kang
Han Ye Ri, Role: Hong Mae
Moon Sung Geun, Role: Wan Hob [Boat engineer]
Kim  Sang Ho, Role: Boatswain Ho Young
Yoo Seung Mok, Role: Kyeong Goo","Action
 Thriller
 Romance",7.4,556,https://mydramalist.com//7986-sea-fog
Suspect X (2008),Japan,"A male body is discovered. He is strangled to death where his face pulverized beyond recognition and fingers burned to a crisp. Utsumi Kaoru is assigned to the case. The police face great difficulty in cracking the case. Thus, she seeks advice from brilliant physicist Yukawa Manabu, aka Detective Galileo. 

After analyzing the case, Yukawa suspects that the true genius behind everything is Ishigami Tetsuya, the neighbor of the victim's ex-wife. Ishigami happens to be Yukawa's college friend whom he regards as a true mathematics genius.

Elaborate bluffs, false testimonials, loopholes in logic - all begin to appear in Detective Galileo's way as if intentionally placed as a challenge by someone with mathematical brilliance.

~~ Adapted from the novel ""The Devotion of Suspect X"" (容疑者Xの献身) by Higashino Keigo (東野圭吾). Edit Translation English Español magyar / magyar nyelv dansk",Fukuda Yasushi,"Fukuyama Masaharu, Role: Yukawa Manabu
Shibasaki Ko, Role: Utsumi Kaoru
Tsutsumi Shinichi, Role: Ishigami Tetsuya
Matsuyuki Yasuko, Role: Hanaoka Yasuko
Kitamura Kazuki, Role: Kusanagi Shunpei
Watanabe Ikkei, Role: Kuribayashi Hiromi","Thriller
 Mystery
 Drama",8.0,831,https://mydramalist.com//1679-suspect-x
Kasane (2018),Japan,"Kasane's face is so hideous, you couldn't bear to look twice at her—and her ugliness has forced her to walk a harsh path in life. But her mother left her something: a tube of lipstick. The power of this lipstick will change everything about her downtrodden life.

",Sato Yuichi,"Yoshine Kyoko, Role: Kasane Fuchi / Nina Tanzawa
Tsuchiya Tao, Role: Nina Tanzawa / Kasane Fuchi
Yokoyama Yu, Role: Reita Ugo
Dan Rei, Role: Sukeyo Fuchi
Asano Tadanobu, Role: Habuta Kingo
Murai Kunio, Role: Fujihara Yoshio","Thriller
 Psychological
 Drama
 Supernatural",7.8,510,https://mydramalist.com//24701-kasane
The Piper (2015),South Korea,"Shortly after the Korean War, a man and his son, Woo Ryong and Young Nam, arrive in an isolated mountain village looking for work in order to make enough money to continue their journey to Seoul. Against the chief's better judgment, Woo Ryong is allowed to do odd jobs and soon realizes the village suffers a major rat infestation. Like a mid-century Pied Piper, he makes a deal with the chief to rid the town of the rats but the time comes to collect his fee and leave, the chief double-crosses the father and son. Vowing revenge, he lures the rats back, fulfilling an old prophecy that brings horror to the village.

",Investigation,"Ryu Seung Ryong, Role: Woo Ryong
Lee Sung Min, Role: [Village head]
Chun Woo Hee, Role: Mi Sook
Lee Joon, Role: Nam Soo
Jung Kyung Ho, Role: [Chul Soo's father]
Gu Seung Hyun, Role: Young Nam","Mystery
 Horror
 Drama
 Supernatural",7.4,736,https://mydramalist.com//12639-the-piper
Shaolin (2011),China,"Set during the early years of the Chinese republic, when feuding warlords waged constant wars to expand their power, young army leader Hao Jie and his sworn brother Huo Lung find little resistance invading the township of Dengfeng. The nearby Shaolin Temple opens its doors to the wounded and disciples Jing Neng, Jing Kong and Jing become masked Robin Hoods at night to help the poor. The young and arrogant Hao Jie then challenges the Shaolin masters when he learns they are helping his enemies. Hao Jie wins his duel and becomes even more arrogant.
Nevertheless, the mighty Hao Jie experiences a swift and sudden fall, when he is betrayed by Huo Lung and finds himself at the doorsteps of the Shaolin Temple seeking help. While recuperating, Hao Jie learns the Shaolin style of martial arts and begins to find inner peace. An epic battle then awaits when Huo Lung attacks the Shaolin Temple. Edit Translation English magyar / magyar nyelv dansk Norsk",Benny Chan,"Nicholas Tse, Role: Cao Man
Andy Lau, Role: Hou Jie
Yu  Shao Qun , Role: Jing Hai
Xing Yu, Role: Ching Kung
Michelle Bai, Role: Tian Er
Jackie Chan, Role: Wu Dao [Cook]","Action
 Historical
 Drama
 Martial Arts",7.9,817,https://mydramalist.com//2379-shaolin
Kamen Rider Heisei Generations FINAL: Build & Ex-Aid with Legend Riders (2017),Japan,"The crossover movie featuring the casts of Kamen Rider Ex-Aid and Kamen Rider Build, along with the return of past Heisei Kamen Riders. Edit Translation English magyar / magyar nyelv dansk Norsk",Muto Shogo,"Inukai Atsuhiro, Role: Kiryu Sento / Kamen Rider Build
Iijima Hiroki, Role: Hojo Emu / Kamen Rider Ex-Aid
Akaso Eiji, Role: Ryuga Banjou / Kamen Rider Cross-Z
Kai Shouma, Role: Parad
Seto Toshiki, Role: Kagami Hiiro / Kamen Rider Brave
Matsuda Ruka, Role: Karino Asuna / Poppy Pipopapo","Action
 Tokusatsu
 Martial Arts
 Sci-Fi",7.9,536,https://mydramalist.com//25354-kamen-rider-heisei-generations-final
Sodom's Cat (2016),Taiwan,"This is a short film about a young guy, Sunny, with a boyish face who attends a group sex event held by a dating app company. He encounters four other guys there. Together they start a journey of sensual pleasure. When the gate of Sodom opens, is the passion real? Is it satisfaction or loneliness that they can get? Edit Translation English magyar / magyar nyelv dansk Norsk",Huang Ting Chun,"Wu Chih To, Role: Sun / Sunny
Zhou Xian Zhong, Role: Duke 
Hsu Yu Ting, Role: L
Lee Hsien Heng, Role: Uncle 
Ark Zheng, Role: Rodger","Romance
 Drama",6.0,570,https://mydramalist.com//20614-sodoms-cat
Queen of the Night (2013),South Korea,"Timid husband Young Soo, learns of something startling about his perfectionist wife Hee Joo's past. Young Soo then begins to investigate her past. Edit Translation English Português (Brasil) magyar / magyar nyelv dansk",Mystery,"Chun Jung Myung, Role: Yeong Soo
Kim Min Jung, Role: Hee Joo
Lee Mi Do, Role: [Jung Tae's mother]
Kim Gi Bang, Role: Jong Bae
Lee Joo Won, Role: Mun Sook
Han Bo Reum, Role: Jang Mi","Mystery
 Comedy
 Romance",7.3,740,https://mydramalist.com//5924-queen-of-the-night
Yatterman (2009),Japan,"Gan-chan and his girlfriend build Yatterwan (Yatter Dog), a robot. They form a fighting team to protect world peace. Edit Translation English Español magyar / magyar nyelv dansk",Miike Takashi,"Sakurai Sho, Role: Gan Takada [Yatterman #1]
Fukuda Saki, Role: Ai-chan [Yatterman #2]
Fukada Kyoko, Role: Doronjo
Kendo Kobayashi, Role: Tonzura
Namase Katsuhisa, Role: Boyacki
Abe  Sadawo, Role: Professor Kaieda","Action
 Tokusatsu
 Comedy
 Fantasy",6.6,531,https://mydramalist.com//1626-yatterman
The 9th Precinct (2019),Taiwan,"A rookie police officer with the ability to see ghosts is assigned to the 9th District department which polices the supernatural world.

",Mystery,"Roy Chiu, Role: Chen Chia Hao
Eugenie Liu, Role: Chang Ju Hsin
Jenny Wen, Role: Hsueh
Peng Chia Chia, Role: Mr. Chang
Stephanie Chang, Role: Huang Ya Hui
Heaven Hai, Role: Mrs. Chen","Mystery
 Horror
 Comedy
 Supernatural",7.2,508,https://mydramalist.com//40289-the-9th-precinct
"Blue, Painful, Fragile (2020)",Japan,"Tabata Kaede is a university student with poor social skills. He meets Akiyoshi Hisano, who attends the same university. She seems to lack common sense and is also an idealist. She talks about ending wars and having no more bullies. Kaede & Hisano have different personalities, but they are both outsiders. For their goal to change the world, they decide to make a secret club Moai. One day, Hisano suddenly disappears. Their secret club Moai also changes. Moai becomes a club for job finders and the club gets larger. Kaede decides to leave the club, but he then decides to take back Moai for its original mission, dreamt up by himself and Hisano.

",Sugihara Noriaki,"Yoshizawa Ryo, Role: Tabata Kaede
Sugisaki Hana, Role: Akiyoshi Hisano
Okayama Amane, Role: Maekawa Tosuke
Matsumoto Honoka, Role: Honda Asami / ""Pon""
Shimizu Hiroya, Role: Amano Takumi / ""Ten""
Mori Nana, Role: Nishiyama Mizuki","Mystery
 Life
 Youth
 Drama",7.3,509,https://mydramalist.com//57867-aokute-itakute-moroi
Warning: Do Not Play (2019),South Korea,"A mystery horror flick about a director wannabe, Mi Jeong, who seeks a movie that is claimed to have been made by a ghost. During her search, she meets Jae Hyeon, the real director of the movie.

",Mystery,"Seo Yea Ji, Role: Park Mi Jung
Jin Seon Kyu, Role: Kim Jae Hyeon 
Ji Yoon Ho, Role: Kim Joon Seo
Cha Yeob, Role: Cha Gwang Bae
Jo Jae Young, Role: Jo Young Min
Kim Bo Ra, Role: Kim Ji Soo","Mystery
 Horror
 Supernatural",7.0,619,https://mydramalist.com//32243-blackout
Love Destiny The Movie (2022),Thailand,"After living a happy and loving life together in the Ayutthaya era, Muen and Karaket are reborn in the early Rattanakosin Kingdom. 

Phop is a craftsman with the sweetest smile in Thailand. He's been dreaming of one woman for many years. He believes wholeheartedly that they were together in a past life. When he meets Kesorn, whose face matches the woman in his dreams, he pursues her unwaveringly. However, Kesorn is a progressive woman educated by a foreign priest; she doesn't believe in bupphesanniwat, couples fated to be together across lifetimes. She's not impressed by Phop at all. 

Kesorn is interested in Methas, a young western-looking man who likes to use strange, anachronistic words. 

",Ping Adisorn Trisirikasem,"Bella Ranee Campen, Role: Kesorn | Karaket
Pope Thanavat Vatthanaputi, Role: ""Phop"" Sombatbordi | Sriwisarnwaja
Ice Paris Intarakomalyasut, Role: Methus Huntrakul
Nonkul Chanon Santinatornkul, Role: [Prince]
Bobby Nimit Lugsamepong, Role: Sunthorn Phu
Pookie Paweenut Pangnakorn, Role: Pi [Kesorn's servant]","Historical
 Comedy
 Romance
 Supernatural",7.9,559,https://mydramalist.com//72471-bpoop-phaeh-saniwaat-2
The Swimmers (2014),Thailand,Perth and Tan are competitive swimmers and best friends. Perth is jealous of Tan's superior athletic abilities as well as his beautiful girlfriend Ice. Tan quits swimming due to depression after Ice commits suicide by jumping into an empty pool. Tan becomes obsessed with finding out the mystery of Ice's suicide and finding the person responsible. Perth begins winning races and his popularity rises tremendously but his happiness does not last long as he is soon haunted by Ice's ghost. Edit Translation English Burmese Español magyar / magyar nyelv,Claire Jirassaya Wongsutin,"Kao Supassara Thanachart, Role: Ice
Tor Thanapob Leeratanakachorn, Role: Tan
March Chutavuth Pattarakhumphol, Role: Perth
Violette Wautier, Role: Mint
Muay Supaporn Kumnuansilp, Role: On
Nus Nusba Punnakanta, Role: [Perth's Mother]","Thriller
 Horror
 Sports
 Supernatural",7.3,695,https://mydramalist.com//10938-the-swimmers
Ring 2 (1999),Japan,"A week or so has passed since Sadako's body was discovered and the police have been making efforts to find the victim's family and locate Reiko and her son, Yoichi, who have disappeared. They have been questioning Takano Mai over the shocking death of her boyfriend, Ryuji and Reiko's father. They believe that Reiko has something to do with these events and soon Yoichi turns up, now a mute child after witnessing the tape.

Mai decides to take up an investigation of her own, which leads her to Reiko's old newspaper office where she meets a reporter who is also interested in the story concerning the tape. They visit the mental hospital where Masami is still being kept and learn that she has developed some interesting abilities and is being studied by Dr. Heihachiro Ikuma who has a theory about psychic powers that he wishes to carry out in due course.

",Nakata Hideo,"Nakatani Miki, Role: Mai Takano
Sanada Hiroyuki, Role: Takayama Ryuuji
Otaka Rikiya, Role: Asakawa Yoichi
Ban Daisuke, Role: Professor Heihachiro Ikuma
Chousokabe Yoko, Role: Kangofu - Ukai
Tsuji Shinmei, Role: Manshon Kanrinin","Mystery
 Horror
 Supernatural",7.0,834,https://mydramalist.com//630-ring-2
OMG! Oh My Girl (2022),Thailand,"This is the chaotic love story of a man and a woman who keep falling for each other, but in the wrong place and at the wrong time. 

Their chemistry is strong. However, when Guy is single, June's in a relationship. When they break up, Guy has a partner. He breaks up with them and June's in another relationship. This is the rhythm of their love. Guy endeavours to give up the pursuit, but moving on is an endless cycle. Finally, he's determined to just once give it his all and fight fate. 

",Gim Thanaram Prameboon,"Sky Wongravee Nateetorn, Role: Guy
June Plearnpichaya Komalarajun, Role: June
Peach Pachara Chirathivat, Role: Pete
Michael Abhicha Thanachanun, Role: Phing
Tah Siwat Sirichai, Role: Tah
Lex Wasu Pluemsakulthai, Role: Lex","Comedy
 Romance
 Youth",7.5,715,https://mydramalist.com//728155-omg
A Naked Boy (2015),South Korea,"Jin-tae is 45 years old and a History teacher. He suffers because a student, who resembles his ex-boyfriend, seems to be naked.

",Romance,"Kim Young Pil, Role: Jin Tae
Kim Jae Heung, Role: Jin Tae [Teenager]
Ha Kyung, Role: The Boy
Kim Dong Hyun, Role: [Teacher]","Romance
 Drama",6.1,507,https://mydramalist.com//30982-a-naked-boy
Cold Fish (2011),Japan,"Shamoto runs a small tropical fish shop. When his daughter Mitsuko is caught shoplifting at a grocery store a man named Murata steps in to settle things between the girl and the store manager. Murata also runs a tropical fish shop and he and Shamoto soon become friendly. However Murata hides many dark secrets behind his bombastic and gregarious persona.

~~The film is loosely based on the real life 1993 murders that became known as the ''Saitama serial murders of dog lovers.'' Edit Translation English 한국어 Español magyar / magyar nyelv",Thriller,"Fukikoshi Mitsuru, Role: Shamoto Nobuyuki
Denden, Role: Murata Yukio
Kurosawa Asuka, Role: Murata Aiko [Yukio's wife]
Kagurazaka Megumi, Role: Shamoto Taeko [Nobuyuki's wife]
Kajiwara Hikari, Role: Shamoto Mitsuko [Nobuyuki's daughter]
Watanabe Tetsu, Role: Tsutsui Takayasu [Yukio's lawyer]","Thriller
 Horror
 Psychological
 Mature",7.3,627,https://mydramalist.com//2300-cold-fish
Mr. Six (2015),China,"Mr. Six belongs to the old Mafia generation – one of principles, respect, and man-to-man knife fights. His estranged son Bobby belongs to the new generation – one of fast cars, clubs, and avoiding consequences. When Bobby is held hostage by a group of over-privileged punks for scratching their car, Mr. Six bails him out and attempts to rebuild their relationship, while ignoring his worsening heart condition. But when the powerful, political family of the gang’s leader seeks revenge and beats Bobby into a coma, Mr. Six decides to rally his old comrades and settle the score with one last battle.  Starring acclaimed director Feng Xiaogang, stepping in front of the camera for the first time, MR. SIX is a film with both heart and grit. Edit Translation English magyar / magyar nyelv dansk Norsk",Fei Zhen Xiang,"Feng Xiao Gang, Role: Liu Ye [Lao Pao Er]
Zhang Han Yu, Role: Men San'er
Li Yi Feng, Role: Xiao Bo [Lao Pao Er's son]
Xu Qing, Role: Hua Xia Zi
Kris Wu, Role: Tan Xiao Fei [senior official's son, loves cars]
Liang Jing, Role: [Deng Zhao Er's wife]","Thriller
 Comedy
 Crime
 Drama",7.2,552,https://mydramalist.com//12607-mr.-six
Ichi (2008),Japan,"Ichi is a goze  who is travelling Japan in search of her mentor, who was the actual Zatoichi. She was born blind. As an infant, Zatoichi rescued her and left her in the care of a group of goze, visiting her and secretly teaching her the techniques Zatoichi had mastered. After being abused, she is exiled by the goze. Zatoichi suspiciously never returned to visit her again, thus she began searching for him. While on her search, she gets involved in a war between residents of a small village ruled by a yakuza gang and a group of bandits, Banki-to. Edit Translation English magyar / magyar nyelv dansk Norsk",Asano Taeko,"Ayase Haruka, Role: Ichi
Osawa Takao, Role: Toma Fujihira
Nakamura Shido II, Role: Manki
Kubozuka Yosuke, Role: Shirakawa Toraji
Emoto Akira, Role: Chobee
Takeuchi Riki, Role: Support Role","Action
 Adventure
 Historical
 Martial Arts",7.5,862,https://mydramalist.com//1615-ichi
Pair of Love (2010),Taiwan,"Li Jeng Je and Hue Wei Luen are best friends. Before they realize, they fall in love with each other and change their relationship from best friends to lovers. But Je is a basketball player who is afraid that his sexual orientation might be found by his homophobic friend, so he decides to break up with Lun. He tried to have a straight relationship with Ying, who is actually a lesbian. But eventually, he realizes that it doesn't feel right. Edit Translation English Español Türkçe magyar / magyar nyelv",Lesbian Romance,"Charles Lee, Role: Main Role","Comedy
 Romance
 Drama",6.7,574,https://mydramalist.com//5780-pair-of-love
My Wife Is A Gangster 2 (2003),South Korea,"On a rooftop in the middle of a thick urban forest of skyscrapers, the Mantis gang, living legends of the underworld, is engaged in a bloody battle with rival gang members. When things are looking very bad for the Mantis gang, a deafening roar announces the arrival of a helicopter overhead. It's Cha Eun Jin, the woman who conquered the male-dominated realm with only a pair of her lethal scissors.

However, Eun Jin is attacked by an opponent and falls off the rooftop. She survives but sustains serious head injuries and remembers nothing of her past. She is discovered by Jae Chul, a Chinese restaurant cook, and ends up delivering food on a scooter for ""Fusion Chinese Restaurant Shu"".

Having forgotten that she was a born fighter, Eun Jin lives a peaceful life while various men like ""Moneylender Koh"" and ""Girllove"" vie for her affections. By chance, she thwarts a bank robbery and is honoured with a ""Brave Citizen Award"".

Unfortunately, this reveals her whereabouts to the White Sharks, who have been eagerly waiting for their chance for revenge. They team up with some loan sharks who have been looking to develop the marketplace area to back Eun Jin into a corner. She has no alternative but to risk her life once again in a bloody war with her sworn enemies. Edit Translation English magyar / magyar nyelv dansk Norsk",Choi Hae Chul,"Shin Eun Kyung, Role: Cha Eun Jin
Park Jun Gyu, Role: Yun Jae Cheol
Choi Joon Yong, Role: Support Role
Kim Dong Wook, Role: Support Role
Sun Woo Sun, Role: Support Role
Lee Won Jong, Role: Yeo Sa Rang","Action
 Comedy
 Crime",7.2,645,https://mydramalist.com//1000-my-wife-is-a-gangster-2
Why Did You Come to My House? (2009),South Korea,"Byeong Hee is having mental problems because of the sudden loss of his wife. Su Jang is wacky, lacks social skills, doesn't have a big dream in life, but dreams of miraculous love. These two disparate strangers are set to soon cross paths.
Su Jang was dumped by her first love Park Ji Min (Seung Ri) and has been stalking him for the last ten years. To get a better view of Ji Min's house, she breaks into his neighbour's house owned by Byeong Hee.
Once she enters Byeong Hee's house, she finds him attempting to hang himself and saves him. She then ties his hands and legs together and locks him up. Love is about to sprout from the strangest of places. Edit Translation English Español magyar / magyar nyelv dansk",Hwang Soo Ah,"Kang Hye Jung, Role: Lee Su Kang
Park Hee Soon , Role: Kim Byeong Hee
David Lee, Role: Park Ji Min [Younger]
Seungri, Role: Park Ji Min [Older]
Kang Sook, Role: [Owner of Chun-cheon house]
Lee Do Hyun, Role: [Lean detective]","Comedy
 Romance",6.7,645,https://mydramalist.com//639-why-did-you-come-to-my-house-2009
The Blue Flame (2003),Japan,"A 17 y.o. Japanese secondary school student is living happily with his mom and sister but one day his stepdad returns, drunk much of the time and cruel to his mom and sister. Is there such a thing as the perfect murder?

",Psychological,"Ninomiya Kazunari, Role: Kushimori Shuichi
Suzuki Anne, Role: Kushimori Haruka
Takenaka Naoto, Role: Shishobako no Otoko
Matsuura Aya, Role: Fukuhara Noriko
Nakamura Baijaku, Role: Yamamoto Eiji
Karasawa Toshiaki, Role: Kanzaki Shintaro","Psychological
 Romance
 Youth
 Drama",7.6,554,https://mydramalist.com//810-the-blue-flame
