Title,Year,Country,Synopsis,Director,Actors,Genres,Rating,Number of Raters,URL
Heartstrings (2011),2011,South Korea,"Lee Shin is a university student majoring in modern music. He is the vocalist of the band ""The Stupid"" and also plays the guitar. He is known for his good looks and his strong passion for music but is in reality a cold person who is uninterested in non-music related things and has no dreams nor plans for the future. Shin initially likes a dance professor at his university, but this all changes when he meets Lee Kyu Won.

Lee Kyu Won is a bright and outgoing student who was born into a prestigious family and is majoring in traditional Korean instruments, especially the gayageum. Kyu Won's grandfather, Lee Dong Gun, is one of the top 3 traditional musicians of his age, and his biggest wish is to have his granddaughter trained to become a traditional music prodigy in 10 years' time. Trying to live up to her grandfather's expectations, Kyu Won immerses herself in training and becomes a university student who knows nothing besides traditional music. As Kyu Won's friends are fans of ""The Stupid"", she was forced to go to the band's concert with them. There, she saw Lee Shin performing live and is immediately captivated by him. ",Lee Myung Sook,"Park Shin Hye, Role: Lee Kyu Won
Jung Yong Hwa, Role: Lee Shin
So Yi Hyun, Role: Jung Yoon Soo
Song Chang Eui, Role: Kim Suk Hyun
Kang Min Hyuk, Role: Yeo Joon Hee
Oh Won Bin, Role: [Guitarist of ""The Stupid""]","Music
 Romance
 Youth
 Drama",7.6,35065,https://mydramalist.com/1445-heartstrings
A Love So Beautiful (2017),2017,China,"It starts off with high school classmates Chen Xiao Xi and Jiang Chen who are also neighbors. Xiao Xi, a cheerful girl who doesn't study much, is expressive about her admiration towards Jiang Chen, the popular guy known for his looks and high grades. Together with their fellow classmates the funny Lu Yang, athletic but loyal Jing Xiao, and cool swimming team member Wu Bo Song, they embark on high school life to university until their adult life.

",Yang Long,"Hu Yi Tian, Role: Jiang Chen
Shen Yue, Role: Chen Xiao Xi
Gao Zhi Ting, Role: Wu Bo Song
Wang Zi Wei, Role: Lin Jing Xiao
Sun Ning, Role: Lu Yang
Monica Lu, Role: Li Wei [8th class monitor]","Comedy
 Romance
 Life
 Youth",8.3,32977,https://mydramalist.com/24644-a-love-so-beautiful
Death's Game Part 2 (2024),2024,South Korea,"After learning what Death meant when they said his death would become more painful, Choi Yi Jae becomes hellbent on revenge. 

",Ha Byung Hoon,"Seo In Guk, Role: Choi Yi Jae
Park So Dam, Role: Death
Nam Kyung Eup, Role: Chairman Nam
Go Youn Jung, Role: Lee Ji Soo [Yi Jae’s girlfriend]
Kim  Mi Kyung, Role: [Yi Jae’s mother]
Kim Ji Hoon, Role: Park Tae Woo [CEO of Taekang Group]","Thriller
 Drama
 Fantasy",8.9,11658,https://mydramalist.com/761313-death-s-game-part-2
"Bread, Love and Dreams (2010)",2010,South Korea,"Kim Tak Goo is the eldest son of Goo In Jong, the president of Geosung Enterprise, a legend in the baking industry. Although he is an extremely talented baker and seemed destined to succeed his father as president, Goo In Jong's family plotted to rob him of his inheritance because he was born to In Jong's mistress. Tak Goo's determination to become number one in the baking industry drives him to rebuild his career from scratch despite the many trials he faces.

",Lee Jung Sub,"Yoon Shi Yoon, Role: Kim Tak Goo
Oh Jae Moo, Role: Kim Tak Goo [Young]
Joo Won, Role: Goo Ma Jun
Shin Dong Woo, Role: Goo Ma Jun [Young]
Eugene, Role: Shin Yoo Kyung
Jo Jung Eun, Role: Shin Yoo Kyung [Young]","Romance
 Family
 Melodrama",8.1,9434,https://mydramalist.com/51-bread-love-and-dreams
He's Coming to Me (2019),2019,Thailand,"On his birthday, Med, the kind-hearted heir of a rich family, dies mysteriously and becomes a ghost. For twenty years, he waits in the graveyard for someone to visit so that he is able to reincarnate. However, his plan for reincarnation changes completely when he spots Thun, a young boy who is able to see and talk with him during every Ching Ming Festival. 

A few years pass and Thun, now a university student, grows suspicious about Med's death. He promises to discover the circumstances of Med's death and takes Med to live with him. As they solve the riddle of Med's death, the boys find themselves falling in love with each other despite the certainty that one day they must part.

",Title Nirattisai Ratphithak,"Singto Prachaya Ruangroj, Role: Mes Wongsakorn Thanarunsiri
Ohm Pawat Chittsawangdee, Role: ""Thun"" Thunyakorn
Chimon Wachirawit Ruangwiwat, Role: Prince
Sing Harit Cheewagaroon, Role: ""Golf"" Khiewkhem
Gigie Chanunphat Kamolkiriluck, Role: Praifah
Ampere Suttatip Wutchaipradit, Role: Ngoon ","Mystery
 Comedy
 Romance
 Supernatural",8.2,14385,https://mydramalist.com/31880-he-s-coming-to-me
The First Responders (2022),2022,South Korea,"Follow the joint operations of a police force and a fire department, who together will tell a thrilling story. 

Fierce detective Jin Ho Gae is all about catching low-lifes. He solves cases with his excellent ability to grasp crime scenes, read a criminal's mind, and has a strong will to win. While the fearless firefighter Bong Do Jin, who seems cold on the outside, is nice to those around him, and he takes good care of victims. He rushes to fire sites without a moment of hesitation. Joining the duo is Song Seol, an empathetic paramedic who heals broken hearts while treating wounds.

",Shin Kyung Soo,"Kim Rae Won, Role: Jin Ho Gae
Son Ho Jun, Role: Bong Do Jin
Gong Seung Yeon, Role: Song Seol
Kang Seo Ha, Role: Kang Seo Ha [Fire station staff]
Hwang Young Hee, Role: Hee Sook [Nurse]
Kang Gi Doong, Role: Pil Gong Myung [Ho Gae's partner]","Action
 Thriller
 Mystery
 Drama",8.7,7691,https://mydramalist.com/711391-the-police-station-next-to-fire-station
Law School (2021),2021,South Korea,"When a grim incident occurs at their prestigious school, justice through law is put to the test by a tough law professor and his ambitious students.

Yang Jong Hoon is a criminal law professor and a former elite prosecutor, whose harsh words make him the professor to steer clear of.  At the same time, there’s something compelling about his strict teaching methods and his refusal to accept less than the best from his future juniors in the legal profession.

Han Joon Hwi, a first-year law student, is at the top of his class. He’s a natural leader whose good looks and easy charm make him the perfect man - on paper. However, there’s an unexpected side to him that remains well-hidden. 

Kang Sol (A) is another first-year law student who overcame childhood poverty and hardships by gaining special admission to the school. She walks a path of thorns due to her constant sense of deprivation and shame amidst the wealth and talent that surrounds her. Eventually, her passion will enlighten her on what it truly takes to be a good lawyer.

Kim Eun Sook is a civil law professor who was once the head of the law school’s free legal clinic. Her natural air of authority and freewheeling personality earned her the reputation for being a master in court. Known for being a highly relatable professor, she is the sole colleague Yang Jong Hoon dares to confide in.

",Kim Seok Yoon,"Kim Myung Min, Role: Yang Jong Hoon
Kim Bum, Role: Han Joon Hwi
Ryu Hye Young, Role: Kang Sol [A] | Kang Dan
Lee Jung Eun, Role: Kim Eun Sook
Lee Soo Kyung, Role: Kang Sol [B] [Student]
David Lee, Role: Seo Ji Ho","Mystery
 Law
 Crime
 Drama",8.6,22111,https://mydramalist.com/62623-law-school
War of Y (2022),2022,Thailand,"Real war is not weapons, but people. This is a representation of the feeling of a war raging with cunning, resentment and betrayal. 

War of Y is divided into four stories about struggles within the entertainment industry.

Story 1- New Ship
Before the ship, it wasn't easy. But this new era is even harder.

Story 2 - War of Managers
The story of a shipped couple who are privately a real couple. Managers and drama clash until the couple is forced to separate.

Story 3 - Y-Idol
A reality search for new actors—who can sing, dance, and act—and the chaos of the Idol Camp.

Story 4 - Wife
When one half of a shipped couple has a wife, will their future in this industry be ruined?

",Cheewin Thanamin Wongskulphat,"Lay Talay Sanguandikul, Role: ""P"" Atichon Wangwatthana
Muse Nattawit Pewngam, Role: Dew
Seng Wichai Saefant, Role: {New Ship} ""Pan"" Thanamyn Anumanee (Ep. 1-5)
Billy Patchanon Ounsa-ard, Role: {New Ship} ""Nott"" Phatchanon Khamrongphol (Ep. 1-5)
Gung Kunpong Kultanaruangnonth, Role: {War of Managers} Gus Gasidech (Ep. 1-10)
Korn Kornnarat Ongsaranont, Role: {War of Managers} Bew (Ep. 1-10)","Psychological
 Romance
 Drama",6.8,3265,https://mydramalist.com/722673-war-of-y
Love Alarm Season 2 (2021),2021,South Korea,"Longing for resounding proof of her feelings, Kim Jo Jo sets out to uninstall the shield and make the app ring for her one true love.

",Kim Jin Woo,"Kim So Hyun, Role: Kim Jo Jo
Jung Ga Ram, Role: Lee Hye Yeong
Song Kang, Role: Hwang Sun Oh
Go Min Si, Role: Park Gul Mi
Kim Si Eun, Role: Yook Jo
Shim Yi Young, Role: Bae Kyung Hee [Hye Young's mother]","Romance
 Youth
 Drama",6.1,26870,https://mydramalist.com/51007-love-alarm-season-2
Skip Beat! (2011),2011,Taiwan,"High school graduate Gong Xi gives up her chances for university in order to support her childhood friend and romantic goal, Bu Po Shang, in his pop idol career. Upon arriving in Taipei, Gong Xi starts working on multiple jobs in order to support Bu Po Shang, whose popularity quickly rises, eventually becoming one of the top idols in Taiwan.
One day, Gong Xi catches Bu Po Shang flirting with his manager, and learns that he only used her so she can help him with his living expenses. Heart-broken and betrayed, Gong Xi vows to get revenge by becoming a bigger star than him. Gong Xi auditions for L.M.E., Bu Po Shang's rival talent agency, and joins L.M.E.'s new-found department ""Love Me"". At L.M.E., Gong Xi meets famous actor Dun Helian, who eventually falls in love with her.

",Comedy,"Choi Si Won, Role: Dung He Lian
Ivy Chen, Role: Gong Xi
Lee Dong Hae, Role: Bu Puo Shang
Pu Hsueh Liang, Role: Shen De Yuan
Jean Lee, Role: Liu Li Er
Chen Bo Zheng, Role: Owner of Bu Dao Ong","Comedy
 Romance",7.5,9446,https://mydramalist.com/1736-skip-beat
"Bring It On, Ghost (2016)",2016,South Korea,"A cohabitation comedy about a ghost of a high school girl who has been dead for 5 years and an exorcist college boy with the ability to see and hear ghosts. What he’s discovered over the years is that he can touch them and fight them off, so when he’s in need of a part-time job and can’t find one that pays well enough, he starts putting ads online as an exorcist for hire. His ad: “Will face off with your ghosts. Chances of winning: virgin ghosts 80%, bachelor ghosts 40%, child ghosts 97%, the rest 50%.” One night he goes out on the job and faces off with a schoolgirl ghost, and during the fight, they accidentally kiss and sparks fly.

~~ Adapted from the webtoon “Let's Fight, Ghost” (싸우자귀신아) by Iminsu (임인스). ",Park Joon Hwa,"Ok Taec Yeon, Role: Park Bong Pal
Kim So Hyun, Role: Kim Hyun Ji
Kwon Yool, Role: Joo Hye Sung
Kim  Sang Ho, Role: Myung Chul [Monk]
David Lee, Role: Kim In Rang
Kang Ki Young, Role: Choi Cheon Sang","Horror
 Comedy
 Romance
 Supernatural",8.1,38540,https://mydramalist.com/18468-bring-it-on-ghost
Nitiman (2021),2021,Thailand,"Jinake Saman is the university moon in the engineering faculty, known across the whole campus as the hottest moon. There was the saying among the campus “Nothing and no one was hotter than Mr. Jin!” One day when he broke up with his girlfriend, Aim, he fell apart in despair. He later discovered that Aim who broke his heart is the cousin of law student Be Bomb. Jin misunderstands and thinks that Bom and his cousin were flirting when in fact he actually likes Jin. Bom has liked Jin since he was a freshman a year ago after Jin exchanged Bom’s lunchbox (because he can't eat anything spicy) with his own food and rice. As feelings grow between them, can Jin understand Bom’s true intentions and come to see Bom as more than just a junior?

",Jane Kitt Bottasri,"Jom Thanathorn Khuankaew, Role: ""Jin"" Nitikorn / ""Jinake""
Noh Phouluang Thongprasert, Role: ""Bomb"" Wisavakorn Bumrungkiat / ""Be Bomb""
Turbo Chanokchon Boonmanawong, Role: Jay
Kaownah Kittipat Kaewcharoen, Role: Song
Tontae Tinnakorn Puwasakdiwong, Role: Singh
Fourwheels Chayanond Boonmanawong, Role: Ball","Romance
 Life
 Youth
 Drama",7.2,7204,https://mydramalist.com/62131-niti-man-society-and-lover
Gank Your Heart (2019),2019,China,"Their meeting was a recipe for disaster, but their romance is sweet. This is a love story between an e-sports gamer and a Tsundere live streamer.

Ji Xiang Kong had the reputation, the good looks and hoards of fangirls. Qiu Ying meets him during an international competition and jumps at the chance to boost her own popularity, oblivious to the fact that his reputation in the world of e-sports is strangely tarnished. Instead of helping her, the association hurts her even more. The experience turns out to be a blessing in disguise as Qiu Ying finds her calling. By chance, she discovers that Ji Xiang Kong is actually a misunderstood genius.

",Sha Wei Qi,"Wang Yi Bo, Role: Ji Xiang Kong
Wang Zi Xuan, Role: Qiu Ying
Jerry Yan, Role: Pei Xi
Ding  Guan Sen, Role: Lin Yi Xuan
Rain Lu, Role: Lu Yi Yi
Hu Yun Hao, Role: Luo Tian","Romance
 Youth
 Drama
 Sports",8.2,9131,https://mydramalist.com/30561-gank-your-heart
The Eclipse (2022),2022,Thailand,"The country's leading all-boys school, Suppalo, is strictly governed. Rumour has it that a curse will punish students who act out, a curse that grows stronger as the solar eclipse nears. 

But where there are rules, there will naturally be those who want to break them. A group of students calling themselves “The World Remembers” unite to challenge the school's authority and demand their rights. Head student prefect Akk and his cohorts are tasked with dissuading the rebel group. Then Ayan, a mysterious new student, arrives. Akk is suspicious of Ayan, this boy whose behaviour is so odd and who regularly challenges the school's norms. 

Ayan has enrolled in hopes of discovering the person who pushed his uncle Dika to suicide. His only evidence leading him to Suppalo School is in his uncle's old notebook. Ayan's method of dealing with Akk's scrutiny is to toy with him.

",Golf Tanwarin Sukkhapisit,"First Kanaphan Puitrakul, Role: Akk
Khaotung Thanawat Ratanakitpaisan, Role: Ayan
Louis Thanawin Teeraphosukarn, Role: Thuaphu / ""Thua""
Neo Trai Nimtawat, Role: Khanlong / ""Khan""
AJ Chayapol Jutamas, Role: Wasuwat / ""Wat""
Pawin Thanik Kamontharanon, Role: Namo","Mystery
 Romance
 Youth",8.3,22465,https://mydramalist.com/715893-the-eclipse
Splash Splash LOVE (2015),2015,South Korea,"Dan Bi is a high school senior who has given up on math. On the day she is about to take the KSAT for college, she is transported back into the past during a freak rain shower. She finds herself hundreds of years in the past at the height of the Joseon Kingdom, which is suffering from a severe drought. She encounters King Lee Do who yearns to learn advanced mathematics and falls in love with him. This is a romance that transcends space and time with two lovers who come to know each other on a deeper level.

",Kim Ji Hyun,"Yoon Doo Joon, Role: King Se Jong Yi Do
Kim Seul Gi, Role: Jang Dan Bi
Jin Ki Joo, Role: Queen So Heon [Past] | So Hyeon [Present]
Ahn Hyo Seop, Role: Park Yeon [Past] | Che Ah Jik [Present]
Im Ye Jin, Role: Dan Bi's Mother [Present] | Queen Won Gyeong [Past]
Kim Gab Soo, Role: [Dan Bi's father - Present] | Hwang Hee [Minister - Past]","Historical
 Comedy
 Romance
 Supernatural",8.5,29830,https://mydramalist.com/15550-splash-splash-love
The King’s Avatar (2019),2019,China,"In the multiplayer online game Glory, Ye Xiu is well known as the textbook-level expert and top-tier player Ye Qiu. Due to a series of circumstances, he was forcefully expelled from his professional team. After leaving the pro-gaming scene, he resides at an Internet Café employed as one of the managers. When Glory launches their tenth server, he throws himself into the game once more—equipped with ten years of gaming experience, memories of the past, and an incomplete, self-made weapon. His journey back to the top begins. ",Shiyiyue,"Yang Yang, Role: Ye Qiu | Ye Xiu
Jiang Shu Ying, Role: Chen Guo
Lai Yu Meng, Role: Su Mu Cheng
Daisy Li, Role: Tang Rou
Leon Lai, Role: Bao Rong Xing
Fan Jin Wei, Role: Qiao Yi Fan","Action
 Youth
 Sports",8.5,12620,https://mydramalist.com/24018-the-kings-avatar
Kieta Hatsukoi (2021),2021,Japan,"Aoki has a crush on Hashimoto, the girl in the seat next to him in class. But he despairs when he borrows her eraser and sees she's written the name of another boy—Ida—on it. To make matters more confusing, Ida sees Aoki holding that very eraser and thinks Aoki has a crush on him!

",Kuroiwa Tsutomu,"Michieda Shunsuke, Role: Aoki Sota
Meguro Ren, Role: Ida Kousuke
Fukumoto Riko, Role: Hashimoto Mio
Suzuki Jin, Role: Aida Hayato
Tanabe Seiichi, Role: Taniguchi Masahiro
Mochizuki Ayumu, Role: Toyoda Shun [Kousuke's childhood friend]","Comedy
 Romance
 Life
 Youth",8.3,25448,https://mydramalist.com/708381-kieta-hatsukoi
En of Love: This Is Love Story (2020),2020,Thailand,"A love story about how the engineering faculty's resident playboy, Neua, secretly falls in love with Pra-Ram, a senior in high school and younger brother of Gun Tossakan (TOSSARA) — and how he wins the boy, and his brother over. 

",Niink Karnpicha Sinlertpattana,"Benz Atthanin Thaninpanuvivat, Role: Praram | Pralak 
Prom Ratchapat Worrasarn, Role: Nuea
Win Achawin Michaels, Role: Gun Tossakan (Praram’s elder brother) 
War Wanarat Ratsameerat, Role: Mark
Yin Anan Wong, Role: Vee 
Folk Thitiphat Chankaew, Role: Bar Sarawut","Romance
 Youth
 Drama",7.0,8578,https://mydramalist.com/56385-en-of-love-this-is-love-story
Only Friends (2023),2023,Thailand,"Mew, Ray, Boston and Namchueam—a group of business students running a hostel together—blur the lines between friendship and romance. 

Mew has been focusing on his studies, setting aside no time for sex and relationships. To help them with their business's design, Boston introduces the group to Top. Boston didn't anticipate Top's interest in Mew and he isn't happy with the turn of events. Economics student Sand wants an exclusive relationship with Ray, but Ray has feelings for Mew and he's not interested in settling. IT guy Nick finds a sex tape in Boston's phone and ends up in a friends-with-benefits relationship with him. However, Nick wants something more. 

",Jojo Tichakorn Phukhaotong,"First Kanaphan Puitrakul, Role: Sand
Khaotung Thanawat Ratanakitpaisan, Role: ""Ray"" Pakon
Force Jiratchapong Srisang, Role: ""Top"" Tanin
Book Kasidet Plookphol, Role: ""Mew"" Witsarut
Neo Trai Nimtawat, Role: Boston
Mark Pakin Kunaanuwit, Role: Nick","Romance
 Youth
 Drama",8.1,13111,https://mydramalist.com/743919-only-friends
Entertainer (2016),2016,South Korea,"Seok Ho is a manager who finds success in raising a highly popular idol group. He hopes for more success as he plans to take his group and build his own label, but he eventually falls flat on his face. He deceives people to find his way back to the top and meets Ha Neul, who gave up dreams to become a singer after losing his parents. Having been wrongly convicted of a crime, he is in a state of despair when he meets Seok Ho. Meanwhile, Seok Ho seems untrustworthy to Ha Neul's sister, Geu Rin. To protect her younger brother, Geu Rin takes a break from her university to work several part-time jobs. But seeing her younger brother feel lifted from despair when he meets Seok Ho, Geu Rin is determined to become his manager as he embarks on an inspiring life project, the Entertainers.

",Hong Sung Chang,"Ji Sung, Role: Shin Suk Ho
Lee Hye Ri, Role: Jung Geu Rin
Kang Min Hyuk, Role: Jo Ha Neul
Chae Jung An, Role: Yeo Min Joo
Gong Myung, Role: Kyle Lee/Lee Bang Geul [Band member]
Lee Tae Sun, Role: Na Yun Soo [Band member]","Music
 Business
 Comedy
 Drama",7.7,8006,https://mydramalist.com/16827-entertainer
Do You Like Brahms? (2020),2020,South Korea,"In defiance of her family’s opposition, Song Ah gets accepted to the music school of the same university where she originally majored in business. As she’s seven years older than her classmates, she finds her new academic life daunting and struggles to find strength. One day, she hears Joon Young playing “Träumerei,"" which comforts her. Joon Young is a talented pianist who started playing the piano when he was six. He’s been friends with Jung Kyung, the granddaughter of Kyunghoo Group’s CEO, for a long time, and is in love with her. When he decides to keep his distance from Jung Kyung, he meets Song Ah.

",Ryu Bo Ri,"Park Eun Bin, Role: Chae Song Ah
Kim Min Jae, Role: Park Joon Young
Park Ji Hyun, Role: Lee Jung Kyung
Kim Sung Cheol, Role: Han Hyun Ho
Lee Yoo Jin, Role: Yoon Dong Yoon 
Bae Da Bin, Role: Kang Min Sung ","Music
 Romance
 Drama
 Melodrama",8.1,13066,https://mydramalist.com/56911-do-you-like-brahms
365: Repeat the Year (2020),2020,South Korea,"A story where ten people get the chance to go back in time by one year, but unexpectedly mysterious situations start to arise when their fates are changed and twisted in the process.

Ji Hyung Joo is a detective in the violent crimes division. He used to be part of the traffic police but was promoted when he arrested a wanted criminal.

It's been seven years since the change, and he's a talented individual who always knows how to relax. Though he is happy at first to have the chance to go back in time by one year and ""reset"" his life, he begins to search for the truth when a series of mysterious events befall the group of people he goes back in time with.

",Lee Seo Yoon,"Lee Joon Hyuk, Role: Ji Hyung Joo
Nam Ji Hyun, Role: Shin Ga Hyun
Kim Jee Soo, Role: Lee Shin
Lee Sung Wook, Role: Park Sun Ho [Detective]
Yoon Joo Sang, Role: Hwang No Sub [Resetter / Cafe owner]
Ahn Seung Gyun, Role: Go Jae Young [Resetter / Pro-Gamer]","Thriller
 Mystery
 Drama
 Fantasy",8.5,9393,https://mydramalist.com/50717-365-one-year-against-destiny
